2024-10-17 21:36:00,962 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 55, delta value: 10 done
2024-10-17 21:36:01,051 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 44, delta value: 10 done
2024-10-17 21:36:01,064 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 55, delta value: 15 done
2024-10-17 21:36:01,080 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 1, delta value: 15 done
2024-10-17 21:36:01,148 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 12, delta value: 10 done
2024-10-17 21:36:01,150 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 9, delta value: 20 done
2024-10-17 21:36:01,168 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 29, delta value: 20 done
2024-10-17 21:36:01,173 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 27, delta value: 20 done
2024-10-17 21:36:01,179 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 25, delta value: 15 done
2024-10-17 21:36:01,208 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 27, delta value: 15 done
2024-10-17 21:36:01,218 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 44, delta value: 20 done
2024-10-17 21:36:01,266 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 51, delta value: 15 done
2024-10-17 21:36:01,282 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 1, delta value: 10 done
2024-10-17 21:36:01,297 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 29, delta value: 10 done
2024-10-17 21:36:01,342 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 51, delta value: 10 done
2024-10-17 21:36:01,357 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 25, delta value: 10 done
2024-10-17 21:36:01,388 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 1, delta value: 20 done
2024-10-17 21:36:01,493 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 33, delta value: 10 done
2024-10-17 21:36:01,503 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 51, delta value: 20 done
2024-10-17 21:36:01,511 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 29, delta value: 15 done
2024-10-17 21:36:01,529 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 9, delta value: 10 done
2024-10-17 21:36:01,532 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 0, delta value: 10 done
2024-10-17 21:36:01,536 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 9, delta value: 15 done
2024-10-17 21:36:01,571 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 61, delta value: 20 done
2024-10-17 21:36:01,592 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 27, delta value: 10 done
2024-10-17 21:36:01,594 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 0, delta value: 20 done
2024-10-17 21:36:01,597 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 25, delta value: 20 done
2024-10-17 21:36:01,629 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 11, delta value: 10 done
2024-10-17 21:36:01,629 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 60, delta value: 15 done
2024-10-17 21:36:01,649 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 11, delta value: 20 done
2024-10-17 21:36:01,692 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 46, delta value: 15 done
2024-10-17 21:36:01,732 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 36, delta value: 20 done
2024-10-17 21:36:01,845 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 60, delta value: 20 done
2024-10-17 21:36:01,847 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 60, delta value: 10 done
2024-10-17 21:36:01,869 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 36, delta value: 10 done
2024-10-17 21:36:01,880 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 0, delta value: 15 done
2024-10-17 21:36:01,936 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 61, delta value: 15 done
2024-10-17 21:36:01,954 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 36, delta value: 15 done
2024-10-17 21:36:02,077 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 61, delta value: 10 done
2024-10-17 21:36:02,171 - INFO - Processed: n_agents: 512, p_g value: 0.15, h value: 20, rep value: 11, delta value: 15 done
